District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 019 BEDFORD COUNTY,0702,702 - LIBERTY HIGH SCHOOL,1,,1,,,,,1,1,,1,,,,,2,5,,5,,,,
CON ,Locality: 059 FAIRFAX COUNTY,0233,233 - NORTH POINT,4,,4,,,,,1,4,,4,,,,,2,5,,5,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,666",78,"1,744",5,2,,1,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,314",63,"1,377",7,4,,1,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,335",115,"1,450",5,,,4,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,666",129,"1,795",8,3,,2,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,830,63,893,6,1,2,,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,987",113,"2,100",5,2,,3,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,296",145,"2,441",10,3,,3,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,736,48,784,3,,,2,12,"17,501","1,173","18,674",67,26,8,27,221,"470,817","36,731","507,548","2,505","1,041",192,"1,186"
