District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 139 PAGE COUNTY,0,LURAY - 1480,1,,1,,,,,1,1,,1,,,,,1,1,,1,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,783",79,"1,862",14,1,,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,400",76,"1,476",10,1,,1,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,589",91,"1,680",15,1,,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,957",117,"2,074",9,5,1,1,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,909,51,960,10,2,2,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,134",107,"2,241",11,2,1,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,436",145,"2,581",10,,,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,795,32,827,5,1,,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,767",93,"1,860",13,8,1,,12,"19,380","1,049","20,429",132,29,6,2,224,"521,672","28,404","550,076","6,203","1,593",279,449
