District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,636",101,"1,737",4,4,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,330",77,"1,407",10,3,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,235",112,"1,347",3,1,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,642",149,"1,791",7,3,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,808,72,880,6,1,3,1,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,962",143,"2,105",5,2,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,331",136,"2,467",11,2,1,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,754,43,797,2,,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,541",114,"1,655",4,4,1,1,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,379",86,"1,465",2,1,1,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,582",176,"1,758",7,3,,,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,162",149,"1,311",5,1,3,1,12,"17,362","1,358","18,720",66,25,9,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,674",125,"1,799",6,3,,,4,"7,152",363,"7,515",19,6,,,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,841",73,"1,914",3,,,,4,"7,152",363,"7,515",19,6,,,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,842",79,"1,921",3,2,,,4,"7,152",363,"7,515",19,6,,,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,795",86,"1,881",7,1,,,4,"7,152",363,"7,515",19,6,,,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,798",170,"2,968",7,3,,4,4,"8,923",718,"9,641",17,9,4,18,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,133",57,"1,190",1,1,,4,4,"8,923",718,"9,641",17,9,4,18,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,879",141,"2,020",2,,4,4,4,"8,923",718,"9,641",17,9,4,18,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,113",350,"3,463",7,5,,6,4,"8,923",718,"9,641",17,9,4,18,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,864",88,"1,952",18,5,,,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,601",98,"1,699",12,1,,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,194",72,"1,266",8,,,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,930",106,"2,036",10,1,,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,947",178,"3,125",23,5,,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,228",117,"2,345",21,2,,,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,806",129,"2,935",27,3,,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,497",210,"2,707",15,5,,,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,171",124,"2,295",13,1,1,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,104",143,"3,247",29,10,2,,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,171",125,"2,296",9,3,2,1,11,"24,513","1,390","25,903",185,36,5,7,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0101,101 - BERKELEY A,"4,064",282,"4,346",11,13,4,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0102,102 - BERKELEY B,"2,205",179,"2,384",10,2,,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0103,103 - BERKELEY C,"4,050",203,"4,253",5,10,,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0201,201 - JAMESTOWN A,"1,036",98,"1,134",2,3,3,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0202,202 - JAMESTOWN B,"3,106",413,"3,519",6,1,3,1,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0203,203 - JAMESTOWN C,"2,262",188,"2,450",11,8,1,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0204,204 - JAMESTOWN D,"3,447",123,"3,570",11,5,3,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0301,301 - POWHATAN A,"3,465",221,"3,686",5,8,,1,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0302,302 - POWHATAN B,"1,229",94,"1,323",6,3,,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0303,303 - POWHATAN C,"1,325",74,"1,399",1,,2,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0304,304 - POWHATAN D,"3,314",385,"3,699",22,5,1,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0401,401 - STONEHOUSE A,"3,075",167,"3,242",8,10,,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0402,402 - STONEHOUSE B,"4,140",251,"4,391",14,4,1,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0403,403 - STONEHOUSE C,"2,913",113,"3,026",5,4,2,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0501,501 - ROBERTS A,"1,837",214,"2,051",6,,,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0502,502 - ROBERTS B,"3,640",186,"3,826",4,20,7,1,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0503,503 - ROBERTS C,698,108,806,,,2,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 095 JAMES CITY COUNTY,0504,504 - ROBERTS D,"3,202",308,"3,510",9,7,3,,18,"49,008","3,607","52,615",136,103,32,3,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 097 KING & QUEEN COUNTY,0101,101 - OWENTON,877,54,931,1,,,,5,"4,587",235,"4,822",6,2,,2,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 097 KING & QUEEN COUNTY,0201,201 - CLARKS,953,41,994,2,,,,5,"4,587",235,"4,822",6,2,,2,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 097 KING & QUEEN COUNTY,0301,301 - SHACKLEFORDS,923,50,973,3,,,1,5,"4,587",235,"4,822",6,2,,2,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 097 KING & QUEEN COUNTY,0401,401 - COURTHOUSE,988,50,"1,038",,2,,,5,"4,587",235,"4,822",6,2,,2,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 097 KING & QUEEN COUNTY,0501,501 - OLDMILL,846,40,886,,,,1,5,"4,587",235,"4,822",6,2,,2,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 099 KING GEORGE COUNTY,0101,101 - COURTHOUSE,"2,392",138,"2,530",4,,2,4,5,"14,193","1,070","15,263",42,6,12,17,200,"453,305","37,538","490,843","2,925","1,212",206,257
CON 01,Locality: 099 KING GEORGE COUNTY,0102,102 - PASSAPATANZY,"1,228",83,"1,311",2,,,1,5,"14,193","1,070","15,263",42,6,12,17,200,"453,305","37,538","490,843","2,925","1,212",206,257
