District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 019 BEDFORD COUNTY,0702,702 - LIBERTY HIGH SCHOOL,1,,1,,,,,1,1,,1,,,,,3,9,,9,,,,
CON ,Locality: 059 FAIRFAX COUNTY,0233,233 - NORTH POINT,4,,4,,,,,1,4,,4,,,,,3,9,,9,,,,
CON ,Locality: 185 TAZEWELL COUNTY,0502,502 - GRAHAM,4,,4,,,,,1,4,,4,,,,,3,9,,9,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,652",79,"1,731",5,2,,2,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,311",65,"1,376",7,4,,2,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,331",120,"1,451",5,,,5,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,643",132,"1,775",8,3,,3,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,819,64,883,6,2,2,2,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,964",116,"2,080",5,2,,3,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,283",149,"2,432",10,3,,7,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,729,48,777,3,,,1,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,554",91,"1,645",4,5,1,2,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,345",63,"1,408",2,,1,3,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,571",160,"1,731",7,2,,4,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,138",114,"1,252",5,2,2,2,12,"17,340","1,201","18,541",67,25,6,36,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,635",125,"1,760",5,2,,1,4,"7,065",386,"7,451",17,3,,9,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,773",94,"1,867",5,,,3,4,"7,065",386,"7,451",17,3,,9,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,869",87,"1,956",3,,,3,4,"7,065",386,"7,451",17,3,,9,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,788",80,"1,868",4,1,,2,4,"7,065",386,"7,451",17,3,,9,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,814",174,"2,988",6,2,,8,4,"8,986",738,"9,724",18,8,4,26,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,180",67,"1,247",2,1,,4,4,"8,986",738,"9,724",18,8,4,26,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,857",138,"1,995",4,,4,4,4,"8,986",738,"9,724",18,8,4,26,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,135",359,"3,494",6,5,,10,4,"8,986",738,"9,724",18,8,4,26,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,849",100,"1,949",15,2,,4,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,610",82,"1,692",10,,,,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,160",68,"1,228",7,,,1,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,941",94,"2,035",6,2,,,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,918",161,"3,079",22,4,,6,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,265",112,"2,377",17,2,,4,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,795",158,"2,953",27,,,1,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,590",161,"2,751",13,2,,3,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,154",114,"2,268",12,1,1,1,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,064",147,"3,211",22,7,2,2,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,171",109,"2,280",7,3,2,2,11,"24,517","1,306","25,823",158,23,5,24,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0101,101 - ASHLAND,"1,909",153,"2,062",5,6,3,4,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0104,104 - SLIDING HILL,"1,991",125,"2,116",6,1,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0105,105 - BERKLEY,"1,780",230,"2,010",5,4,1,3,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0106,106 - KERSEY CREEK,"1,241",55,"1,296",5,1,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0107,107 - CHICKAHOMINY,"1,635",55,"1,690",5,1,2,7,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0201,201 - BEAVERDAM,"2,687",151,"2,838",4,,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0202,202 - BLUNTS,"1,263",82,"1,345",7,3,1,2,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0203,203 - WILMINGTON PARISH,"1,886",77,"1,963",5,6,,5,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0206,206 - COURTHOUSE,"1,400",63,"1,463",1,,1,3,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0208,208 - OAK KNOLL,"1,762",90,"1,852",5,1,,8,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0209,209 - WEST HANOVER,556,33,589,2,,,3,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0210,210 - OAK HILL,654,24,678,3,,,1,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0301,301 - CLAY,"2,526",133,"2,659",2,2,2,4,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0303,303 - SHADY GROVE,"1,980",158,"2,138",3,1,,11,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0304,304 - ATLEE,"4,308",169,"4,477",17,4,3,20,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0305,305 - COOL SPRING,"2,327",111,"2,438",4,9,,19,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0401,401 - BATTLEFIELD,"2,487",123,"2,610",3,1,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0403,403 - COLD HARBOR,"3,020",166,"3,186",9,6,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0404,404 - BLACK CREEK,"2,604",101,"2,705",2,5,1,14,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0405,405 - PEBBLE CREEK,"1,412",79,"1,491",5,4,1,11,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0406,406 - BEAVERDAM CREEK,582,91,673,2,1,,2,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0502,502 - RURAL POINT,"2,283",87,"2,370",9,1,,19,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0503,503 - NEWMAN,"2,009",101,"2,110",9,1,1,7,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0504,504 - STUDLEY,"1,467",58,"1,525",5,3,,9,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0505,505 - TOTOPOTOMOY,"1,199",64,"1,263",5,2,2,9,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0506,506 - GEORGETOWN,"1,759",56,"1,815",5,5,1,8,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0507,507 - LAUREL MEADOW,"2,132",104,"2,236",6,4,1,9,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0601,601 - VILLAGE,"3,425",193,"3,618",8,2,,17,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0602,602 - LEE DAVIS,"2,692",156,"2,848",7,2,,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0603,603 - MECHANICSVILLE,"1,927",220,"2,147",3,1,,6,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0604,604 - HANOVER GROVE,"1,660",85,"1,745",1,,,7,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0701,701 - FARRINGTON,"2,247",84,"2,331",4,8,1,10,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0702,702 - MONTPELIER,"2,047",89,"2,136",8,1,1,11,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0703,703 - ROCKVILLE,"2,130",80,"2,210",7,4,,13,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0704,704 - ELMONT,"2,564",202,"2,766",6,2,,15,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
CON 01,Locality: 085 HANOVER COUNTY,0705,705 - SOUTH ANNA,"1,230",51,"1,281",6,4,,4,36,"70,781","3,899","74,680",189,96,22,321,220,"466,646","37,665","504,311","2,499",991,184,"1,600"
