District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 107 LOUDOUN COUNTY,0623,623 - WELLER,"1,689",30,"1,719",2,4,1,,1,"1,689",30,"1,719",2,4,1,,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 165 ROCKINGHAM COUNTY,0305,305 - MASSANETTA SPRINGS,738,22,760,,,,,1,738,22,760,,,,,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 185 TAZEWELL COUNTY,0102,102 - TIP TOP,1,,1,,,,,5,"3,264",294,"3,558",11,2,,2,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 185 TAZEWELL COUNTY,0109,109 - BISHOP,6,1,7,,,,,5,"3,264",294,"3,558",11,2,,2,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 185 TAZEWELL COUNTY,0209,209 - JEFFERSONVILLE,3,1,4,,,,,5,"3,264",294,"3,558",11,2,,2,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 185 TAZEWELL COUNTY,0501,501 - SPRINGVILLE,1,,1,,,,,5,"3,264",294,"3,558",11,2,,2,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 185 TAZEWELL COUNTY,0502,502 - GRAHAM,"3,253",292,"3,545",11,2,,2,5,"3,264",294,"3,558",11,2,,2,8,"5,694",346,"6,040",13,6,1,2
CON ,Locality: 685 MANASSAS PARK CITY,0001,001 - PRECINCT ONE,3,,3,,,,,1,3,,3,,,,,8,"5,694",346,"6,040",13,6,1,2
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,646",40,"1,686",4,3,,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,320",49,"1,369",9,3,,,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,285",88,"1,373",4,,,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,617",104,"1,721",7,2,,,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,817,29,846,6,2,3,,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,970",79,"2,049",5,1,,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,277",97,"2,374",11,2,1,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,731,32,763,2,,,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,555",62,"1,617",4,4,1,,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,344",46,"1,390",1,1,1,,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,554",112,"1,666",7,2,,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,131",81,"1,212",5,1,2,1,12,"17,247",819,"18,066",65,21,8,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,660",111,"1,771",5,2,,,4,"7,119",308,"7,427",17,5,,,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,813",62,"1,875",4,,,,4,"7,119",308,"7,427",17,5,,,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,866",70,"1,936",3,2,,,4,"7,119",308,"7,427",17,5,,,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,780",65,"1,845",5,1,,,4,"7,119",308,"7,427",17,5,,,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,796",151,"2,947",6,3,,3,4,"8,980",555,"9,535",16,8,4,8,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,160",52,"1,212",1,1,,2,4,"8,980",555,"9,535",16,8,4,8,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,874",104,"1,978",3,,4,,4,"8,980",555,"9,535",16,8,4,8,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,150",248,"3,398",6,4,,3,4,"8,980",555,"9,535",16,8,4,8,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,827",68,"1,895",14,2,,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,605",53,"1,658",11,1,,1,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,163",44,"1,207",7,,,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,942",62,"2,004",7,1,,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,897",114,"3,011",19,2,,2,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,226",80,"2,306",16,2,,1,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,776",104,"2,880",26,2,,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,553",108,"2,661",12,3,,1,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,152",84,"2,236",13,1,1,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,065",102,"3,167",22,9,2,,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,183",74,"2,257",5,3,2,2,11,"24,389",893,"25,282",152,26,5,7,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0101,101 - BERKELEY A,"4,044",237,"4,281",10,9,4,2,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0102,102 - BERKELEY B,"2,241",131,"2,372",9,,,2,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0103,103 - BERKELEY C,"4,229",172,"4,401",8,9,,2,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0201,201 - JAMESTOWN A,"1,049",76,"1,125",2,1,3,,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0202,202 - JAMESTOWN B,"3,159",338,"3,497",7,1,2,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0203,203 - JAMESTOWN C,"2,399",155,"2,554",11,8,1,2,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0204,204 - JAMESTOWN D,"3,400",111,"3,511",12,3,3,,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0301,301 - POWHATAN A,"3,544",157,"3,701",4,7,,2,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0302,302 - POWHATAN B,"1,228",74,"1,302",4,3,,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0303,303 - POWHATAN C,"1,333",61,"1,394",1,,2,,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0304,304 - POWHATAN D,"3,282",286,"3,568",17,3,1,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0401,401 - STONEHOUSE A,"3,193",165,"3,358",7,8,,3,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0402,402 - STONEHOUSE B,"4,226",221,"4,447",11,4,,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0403,403 - STONEHOUSE C,"2,963",96,"3,059",6,2,2,,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0501,501 - ROBERTS A,"1,828",202,"2,030",6,,,3,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0502,502 - ROBERTS B,"3,632",154,"3,786",4,18,5,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0503,503 - ROBERTS C,693,103,796,,,2,,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 095 JAMES CITY COUNTY,0504,504 - ROBERTS D,"3,174",217,"3,391",10,7,3,1,18,"49,617","2,956","52,573",129,83,28,22,201,"452,648","31,020","483,668","2,778","1,091",184,184
CON 01,Locality: 097 KING & QUEEN COUNTY,0101,101 - OWENTON,874,55,929,,,,,5,"4,512",192,"4,704",1,1,,2,201,"452,648","31,020","483,668","2,778","1,091",184,184
