District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 019 BEDFORD COUNTY,0702,702 - LIBERTY HIGH SCHOOL,1,,1,,,,,1,1,,1,,,,,2,5,,5,,,,
CON ,Locality: 059 FAIRFAX COUNTY,0233,233 - NORTH POINT,4,,4,,,,,1,4,,4,,,,,2,5,,5,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,656",79,"1,735",5,2,,2,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,315",63,"1,378",7,4,,1,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,339",117,"1,456",5,,,5,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,652",130,"1,782",8,3,,2,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,828,64,892,6,1,2,1,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,978",113,"2,091",5,2,,3,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,289",147,"2,436",10,3,,5,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,734,48,782,3,,,2,12,"17,435","1,185","18,620",67,26,6,32,221,"469,095","37,249","506,344","2,506","1,018",188,"1,396"
