District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 059 FAIRFAX COUNTY,0233,233 - NORTH POINT,1,,1,,,,,1,1,,1,,,,,3,369,72,441,1,,,
CON ,Locality: 770 ROANOKE CITY,0005,005 - JEFFERSON 1,,2,2,,,,,2,368,72,440,1,,,,3,369,72,441,1,,,
CON ,Locality: 770 ROANOKE CITY,0020,020 - EUREKA PARK,368,70,438,1,,,,2,368,72,440,1,,,,3,369,72,441,1,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,625",84,"1,709",4,3,,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,306",73,"1,379",9,3,,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,279",130,"1,409",5,,,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,577",149,"1,726",8,2,,1,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,799,64,863,6,2,3,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,928",122,"2,050",6,1,,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,239",165,"2,404",11,1,1,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,715,49,764,2,,,2,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,537",99,"1,636",4,4,1,1,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,329",67,"1,396",1,1,1,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,512",168,"1,680",6,2,,1,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,086",127,"1,213",5,1,2,,12,"16,932","1,297","18,229",67,20,8,5,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,620",137,"1,757",5,2,,,4,"6,955",414,"7,369",18,4,,1,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,740",96,"1,836",5,,,,4,"6,955",414,"7,369",18,4,,1,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,837",94,"1,931",3,1,,1,4,"6,955",414,"7,369",18,4,,1,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,758",87,"1,845",5,1,,,4,"6,955",414,"7,369",18,4,,1,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,758",188,"2,946",6,2,,7,4,"8,749",805,"9,554",16,8,4,22,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,146",75,"1,221",1,1,,4,4,"8,749",805,"9,554",16,8,4,22,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,818",151,"1,969",3,,4,6,4,"8,749",805,"9,554",16,8,4,22,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,027",391,"3,418",6,5,,5,4,"8,749",805,"9,554",16,8,4,22,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,821",109,"1,930",15,2,,3,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,577",90,"1,667",10,1,,,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,138",74,"1,212",7,,,1,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,917",99,"2,016",7,1,,1,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,845",171,"3,016",20,3,,3,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,230",125,"2,355",17,2,,1,11,"24,043","1,430","25,473",158,23,5,13,201,"443,115","44,763","487,878","2,802","1,073",190,600
