District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 041 CHESTERFIELD COUNTY,0402,402 - GENITO,2,1,3,,,,,1,2,1,3,,,,,8,12,2,14,1,,,
CON ,Locality: 053 DINWIDDIE COUNTY,0402,402 - MCKENNEY,4,,4,,,,,1,4,,4,,,,,8,12,2,14,1,,,
CON ,Locality: 149 PRINCE GEORGE COUNTY,0104,104 - RIVES,1,,1,1,,,,2,3,,3,1,,,,8,12,2,14,1,,,
CON ,Locality: 149 PRINCE GEORGE COUNTY,0205,205 - JEFFERSON PARK,2,,2,,,,,2,3,,3,1,,,,8,12,2,14,1,,,
CON ,Locality: 181 SURRY COUNTY,0301,301 - DENDRON,,1,1,,,,,1,,1,1,,,,,8,12,2,14,1,,,
CON ,Locality: 197 WYTHE COUNTY,0203,203 - WEST WYTHEVILLE,1,,1,,,,,1,1,,1,,,,,8,12,2,14,1,,,
CON ,Locality: 670 HOPEWELL CITY,0201,201 - WARD TWO,1,,1,,,,,2,2,,2,,,,,8,12,2,14,1,,,
CON ,Locality: 670 HOPEWELL CITY,0601,601 - WARD SIX,1,,1,,,,,2,2,,2,,,,,8,12,2,14,1,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,805",42,"1,847",15,1,,,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,415",24,"1,439",8,1,,2,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,611",48,"1,659",14,1,,,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"2,010",48,"2,058",10,5,,2,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,927,26,953,11,2,2,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,154",43,"2,197",11,2,1,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,468",76,"2,544",7,,,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,803,13,816,5,1,,,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,785",54,"1,839",14,8,1,,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,435",25,"1,460",2,,,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,852",57,"1,909",19,3,,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,393",40,"1,433",19,3,1,1,12,"19,658",496,"20,154",135,27,5,10,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,700",106,"1,806",7,2,1,7,4,"7,157",444,"7,601",33,6,1,17,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,717",139,"1,856",10,,,4,4,"7,157",444,"7,601",33,6,1,17,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,925",87,"2,012",10,4,,2,4,"7,157",444,"7,601",33,6,1,17,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,815",112,"1,927",6,,,4,4,"7,157",444,"7,601",33,6,1,17,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"3,073",55,"3,128",15,2,,6,4,"10,260",231,"10,491",59,11,4,26,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,266",22,"1,288",5,1,,5,4,"10,260",231,"10,491",59,11,4,26,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"2,033",50,"2,083",11,3,3,3,4,"10,260",231,"10,491",59,11,4,26,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,888",104,"3,992",28,5,1,12,4,"10,260",231,"10,491",59,11,4,26,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,991",38,"2,029",15,1,1,3,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,713",25,"1,738",12,,,1,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,310",37,"1,347",11,,,1,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,088",40,"2,128",15,8,1,3,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,177",56,"3,233",43,6,,3,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,416",53,"2,469",28,1,,2,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"3,091",57,"3,148",41,4,1,3,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,987",49,"3,036",24,5,1,1,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,352",60,"2,412",19,3,,1,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,285",63,"3,348",32,6,2,3,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,456",47,"2,503",21,3,2,4,11,"26,866",525,"27,391",261,37,8,25,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 085 HANOVER COUNTY,0101,101 - ASHLAND,"2,073",36,"2,109",9,13,2,5,36,"78,026","1,106","79,132",361,136,53,168,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 085 HANOVER COUNTY,0104,104 - SLIDING HILL,"2,158",30,"2,188",12,3,2,7,36,"78,026","1,106","79,132",361,136,53,168,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 085 HANOVER COUNTY,0105,105 - BERKLEY,"1,964",50,"2,014",10,5,1,2,36,"78,026","1,106","79,132",361,136,53,168,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 085 HANOVER COUNTY,0106,106 - KERSEY CREEK,"1,246",10,"1,256",9,1,2,6,36,"78,026","1,106","79,132",361,136,53,168,224,"529,567","13,311","542,878","6,383","1,547",276,886
CON 01,Locality: 085 HANOVER COUNTY,0107,107 - CHICKAHOMINY,"1,713",13,"1,726",6,7,3,4,36,"78,026","1,106","79,132",361,136,53,168,224,"529,567","13,311","542,878","6,383","1,547",276,886
