District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 683 MANASSAS CITY,0002,002 - WEEMS,18,1,19,,,,,1,18,1,19,,,,,1,18,1,19,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,766",48,"1,814",9,2,,2,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,361",63,"1,424",12,2,,1,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,507",64,"1,571",11,1,,,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,864",79,"1,943",14,4,,2,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,890,47,937,7,1,2,1,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,144",81,"2,225",7,3,1,1,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,469",81,"2,550",9,2,,,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,815,23,838,6,,,,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,685",60,"1,745",7,7,1,,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,396",42,"1,438",2,,,,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,794",86,"1,880",13,5,,2,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,279",55,"1,334",11,4,3,2,12,"18,970",729,"19,699",108,31,7,11,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,730",57,"1,787",7,2,,,4,"7,350",209,"7,559",26,7,,7,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,823",52,"1,875",9,,,3,4,"7,350",209,"7,559",26,7,,7,224,"506,333","20,035","526,368","4,492","1,494",327,636
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,977",48,"2,025",7,4,,2,4,"7,350",209,"7,559",26,7,,7,224,"506,333","20,035","526,368","4,492","1,494",327,636
