District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,619",107,"1,726",4,5,,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,316",83,"1,399",10,4,,1,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,212",121,"1,333",3,1,1,1,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,614",159,"1,773",7,3,,1,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,805,77,882,6,1,3,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,943",149,"2,092",4,1,,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,296",145,"2,441",9,3,1,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,742,46,788,2,,,2,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,537",125,"1,662",4,4,1,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,371",89,"1,460",2,1,1,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,554",193,"1,747",7,3,,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,111",156,"1,267",5,4,3,,12,"17,120","1,450","18,570",63,30,10,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,674",138,"1,812",6,3,,,4,"7,128",395,"7,523",19,6,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,836",79,"1,915",3,,,,4,"7,128",395,"7,523",19,6,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,835",85,"1,920",3,2,,,4,"7,128",395,"7,523",19,6,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,783",93,"1,876",7,1,,,4,"7,128",395,"7,523",19,6,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,738",187,"2,925",7,3,,2,4,"8,708",770,"9,478",18,11,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,118",62,"1,180",1,1,,,4,"8,708",770,"9,478",18,11,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,832",147,"1,979",2,,4,1,4,"8,708",770,"9,478",18,11,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,020",374,"3,394",8,7,,,4,"8,708",770,"9,478",18,11,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,855",101,"1,956",20,5,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,579",110,"1,689",12,1,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,169",73,"1,242",7,,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,914",113,"2,027",10,2,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,917",192,"3,109",27,6,,1,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,219",126,"2,345",20,2,,1,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,787",143,"2,930",29,4,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,454",225,"2,679",17,6,,,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,124",137,"2,261",13,2,1,1,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,093",171,"3,264",33,13,2,1,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,133",133,"2,266",11,4,3,1,11,"24,244","1,524","25,768",199,45,6,5,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0101,101 - BERKELEY A,"4,020",313,"4,333",12,13,4,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0102,102 - BERKELEY B,"2,164",193,"2,357",10,2,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0103,103 - BERKELEY C,"3,945",228,"4,173",6,13,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0201,201 - JAMESTOWN A,"1,024",104,"1,128",2,3,3,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0202,202 - JAMESTOWN B,"2,994",444,"3,438",7,3,3,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0203,203 - JAMESTOWN C,"2,211",206,"2,417",10,8,1,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0204,204 - JAMESTOWN D,"3,400",126,"3,526",11,5,3,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0301,301 - POWHATAN A,"3,404",240,"3,644",7,7,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0302,302 - POWHATAN B,"1,225",103,"1,328",6,3,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0303,303 - POWHATAN C,"1,295",83,"1,378",1,,2,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0304,304 - POWHATAN D,"3,246",406,"3,652",24,5,1,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0401,401 - STONEHOUSE A,"2,989",177,"3,166",11,12,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0402,402 - STONEHOUSE B,"4,067",270,"4,337",14,6,1,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0403,403 - STONEHOUSE C,"2,857",128,"2,985",5,4,2,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0501,501 - ROBERTS A,"1,807",238,"2,045",6,,,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0502,502 - ROBERTS B,"3,609",216,"3,825",4,21,7,1,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0503,503 - ROBERTS C,679,112,791,,,2,1,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 095 JAMES CITY COUNTY,0504,504 - ROBERTS D,"3,173",328,"3,501",6,8,2,,18,"48,109","3,915","52,024",142,113,31,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 097 KING & QUEEN COUNTY,0101,101 - OWENTON,885,62,947,1,,,,5,"4,575",272,"4,847",7,2,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 097 KING & QUEEN COUNTY,0201,201 - CLARKS,936,48,984,3,,,,5,"4,575",272,"4,847",7,2,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 097 KING & QUEEN COUNTY,0301,301 - SHACKLEFORDS,920,59,979,3,,,,5,"4,575",272,"4,847",7,2,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 097 KING & QUEEN COUNTY,0401,401 - COURTHOUSE,990,56,"1,046",,2,,,5,"4,575",272,"4,847",7,2,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 097 KING & QUEEN COUNTY,0501,501 - OLDMILL,844,47,891,,,,,5,"4,575",272,"4,847",7,2,,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 099 KING GEORGE COUNTY,0101,101 - COURTHOUSE,"2,335",149,"2,484",4,1,2,,5,"13,865","1,159","15,024",46,8,13,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 099 KING GEORGE COUNTY,0102,102 - PASSAPATANZY,"1,212",91,"1,303",2,,,1,5,"13,865","1,159","15,024",46,8,13,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 099 KING GEORGE COUNTY,0201,201 - MONROE,"3,554",265,"3,819",14,2,7,,5,"13,865","1,159","15,024",46,8,13,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 099 KING GEORGE COUNTY,0301,301 - DAHLGREN,"3,296",368,"3,664",14,3,1,1,5,"13,865","1,159","15,024",46,8,13,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 099 KING GEORGE COUNTY,0401,401 - SHILOH,"3,468",286,"3,754",12,2,3,,5,"13,865","1,159","15,024",46,8,13,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0101,101 - WEST POINT,"2,057",128,"2,185",12,2,2,1,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0201,201 - SWEET HALL,759,29,788,,,,1,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0202,202 - COURTHOUSE,"1,374",67,"1,441",8,,1,1,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0301,301 - AYLETT,"1,971",104,"2,075",1,2,,,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0401,401 - MANQUIN,"2,131",112,"2,243",4,,1,,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 101 KING WILLIAM COUNTY,0501,501 - MANGOHICK,"2,266",72,"2,338",6,4,,,6,"10,558",512,"11,070",31,8,4,3,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0101,101 - PRECINCT 1-1,"1,667",85,"1,752",12,2,2,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0201,201 - PRECINCT 2-1,"1,520",69,"1,589",3,2,,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0301,301 - PRECINCT 3-1,"1,250",67,"1,317",3,4,1,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0302,302 - PRECINCT 3-2,535,25,560,,,2,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0401,401 - PRECINCT 4-1,"1,425",92,"1,517",2,2,,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 103 LANCASTER COUNTY,0501,501 - PRECINCT 5-1,"1,802",114,"1,916",4,4,1,,6,"8,199",452,"8,651",24,14,6,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 115 MATHEWS COUNTY,0001,001 - CHESAPEAKE,"1,464",117,"1,581",2,6,4,,3,"6,484",377,"6,861",9,10,5,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 115 MATHEWS COUNTY,0002,002 - WESTVILLE,"2,360",122,"2,482",4,1,1,,3,"6,484",377,"6,861",9,10,5,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 115 MATHEWS COUNTY,0003,003 - PIANKATANK,"2,660",138,"2,798",3,3,,2,3,"6,484",377,"6,861",9,10,5,2,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0101,101 - SALUDA,572,42,614,2,,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0102,102 - URBANNA,901,85,986,1,1,1,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0201,201 - NEW MARKET,"1,599",62,"1,661",,1,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0301,301 - WATERVIEW,655,35,690,6,,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0302,302 - CHURCH VIEW,771,44,815,4,1,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0401,401- HARMONY VILLAGE,"1,349",93,"1,442",6,1,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 119 MIDDLESEX COUNTY,0501,501 - WILTON,"1,481",86,"1,567",9,1,,,7,"7,328",447,"7,775",28,5,1,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0101,101 - 1A,"1,475",85,"1,560",2,4,,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0201,201 - 2A,"1,765",108,"1,873",3,,1,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0301,301 - 3A,"1,075",57,"1,132",1,1,,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0302,302 - 3B,565,32,597,,,,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0401,401 - 4A,"2,003",109,"2,112",8,6,2,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 133 NORTHUMBERLAND COUNTY,0501,501 - 5A,"2,029",109,"2,138",6,2,,,6,"8,912",500,"9,412",20,13,3,,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 153 PRINCE WILLIAM COUNTY,0101,101 - BRENTSVILLE,"2,913",179,"3,092",13,9,,,38,"96,113","9,258","105,371",531,319,45,25,198,"445,717","40,901","486,618","3,014","1,274",215,77
CON 01,Locality: 153 PRINCE WILLIAM COUNTY,0102,102 - CEDAR POINT,"3,616",231,"3,847",10,7,,,38,"96,113","9,258","105,371",531,319,45,25,198,"445,717","40,901","486,618","3,014","1,274",215,77
