District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 510 ALEXANDRIA CITY,0107,107 - MT VERNON RECREATION CENTER,,1,1,,1,,,2,1,1,2,,1,1,,2,1,1,2,,1,1,
CON ,Locality: 510 ALEXANDRIA CITY,0108,108 - GEORGE WASHINGTON MIDDLE SCH,1,,1,,,1,,2,1,1,2,,1,1,,2,1,1,2,,1,1,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,714",87,"1,801",11,1,,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,324",89,"1,413",12,2,,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,486",100,"1,586",12,1,,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,851",107,"1,958",13,4,,2,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,871,66,937,8,1,2,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,088",139,"2,227",8,3,1,,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,397",131,"2,528",8,2,,,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,803,38,841,6,,,,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,651",105,"1,756",8,7,1,,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,379",62,"1,441",2,,,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,751",124,"1,875",12,5,,2,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,258",86,"1,344",12,4,3,1,12,"18,573","1,134","19,707",112,30,7,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,565",197,"1,762",6,2,,,4,"6,779",726,"7,505",26,6,,6,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,689",176,"1,865",9,,,3,4,"6,779",726,"7,505",26,6,,6,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,872",147,"2,019",8,4,,,4,"6,779",726,"7,505",26,6,,6,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,653",206,"1,859",3,,,3,4,"6,779",726,"7,505",26,6,,6,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,945",129,"3,074",13,4,,,4,"9,623",568,"10,191",53,17,3,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,228",57,"1,285",5,1,,2,4,"9,623",568,"10,191",53,17,3,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,942",105,"2,047",11,4,3,3,4,"9,623",568,"10,191",53,17,3,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,508",277,"3,785",24,8,,5,4,"9,623",568,"10,191",53,17,3,10,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,916",86,"2,002",16,1,1,1,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,662",65,"1,727",16,,,,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,250",66,"1,316",10,,,,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,016",81,"2,097",10,9,1,1,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,033",147,"3,180",33,6,,2,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,336",112,"2,448",28,,,2,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,925",153,"3,078",34,3,,,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,781",120,"2,901",19,2,1,,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,245",117,"2,362",11,1,1,1,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,182",143,"3,325",29,10,2,2,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,339",99,"2,438",20,7,2,,11,"25,685","1,189","26,874",226,39,8,9,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 085 HANOVER COUNTY,0101,101 - ASHLAND,"1,984",90,"2,074",6,11,2,2,36,"73,823","2,552","76,375",282,112,77,58,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 085 HANOVER COUNTY,0104,104 - SLIDING HILL,"2,050",71,"2,121",11,1,2,2,36,"73,823","2,552","76,375",282,112,77,58,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 085 HANOVER COUNTY,0105,105 - BERKLEY,"1,883",110,"1,993",8,4,2,2,36,"73,823","2,552","76,375",282,112,77,58,224,"494,456","31,484","525,940","4,590","1,450",313,386
CON 01,Locality: 085 HANOVER COUNTY,0106,106 - KERSEY CREEK,"1,250",29,"1,279",12,3,2,1,36,"73,823","2,552","76,375",282,112,77,58,224,"494,456","31,484","525,940","4,590","1,450",313,386
