District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 193 WESTMORELAND COUNTY,0201,201 - PRECINCT 2-1,2,,2,,,,,2,16,1,17,,,,,2,16,1,17,,,,
CON ,Locality: 193 WESTMORELAND COUNTY,0301,301 - PRECINCT 3-1,14,1,15,,,,,2,16,1,17,,,,,2,16,1,17,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,738",87,"1,825",6,2,,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,333",82,"1,415",10,2,,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,447",123,"1,570",11,1,,1,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,770",136,"1,906",10,3,1,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,877,66,943,6,1,2,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,067",122,"2,189",6,3,1,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,391",145,"2,536",7,3,,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,788,42,830,5,,,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,641",100,"1,741",6,6,1,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,373",70,"1,443",2,,1,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,722",150,"1,872",12,3,2,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,221",105,"1,326",8,5,4,,12,"18,368","1,228","19,596",89,29,12,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,692",121,"1,813",6,2,,,4,"7,194",416,"7,610",25,7,,2,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,794",105,"1,899",7,,,,4,"7,194",416,"7,610",25,7,,2,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,925",100,"2,025",8,4,,1,4,"7,194",416,"7,610",25,7,,2,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,783",90,"1,873",4,1,,1,4,"7,194",416,"7,610",25,7,,2,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,909",180,"3,089",12,5,,1,4,"9,442",769,"10,211",46,19,4,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,222",77,"1,299",3,1,,,4,"9,442",769,"10,211",46,19,4,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,954",144,"2,098",11,3,4,,4,"9,442",769,"10,211",46,19,4,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,357",368,"3,725",20,10,,,4,"9,442",769,"10,211",46,19,4,1,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,920",109,"2,029",19,2,1,1,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,659",87,"1,746",13,,,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,231",65,"1,296",12,,,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,014",99,"2,113",8,9,3,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,023",164,"3,187",29,7,,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,327",129,"2,456",28,2,1,3,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,877",173,"3,050",34,2,,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,740",158,"2,898",15,2,2,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,213",123,"2,336",13,1,1,,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,174",150,"3,324",24,14,2,1,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,275",121,"2,396",21,7,2,1,11,"25,453","1,378","26,831",216,46,12,6,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0101,101 - ASHLAND,"1,976",165,"2,141",6,12,4,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0104,104 - SLIDING HILL,"2,101",119,"2,220",9,1,5,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0105,105 - BERKLEY,"1,984",223,"2,207",8,6,3,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0106,106 - KERSEY CREEK,"1,262",58,"1,320",11,3,2,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0107,107 - CHICKAHOMINY,"1,671",70,"1,741",6,6,4,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0201,201 - BEAVERDAM,"2,754",154,"2,908",11,1,2,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0202,202 - BLUNTS,"1,342",69,"1,411",7,2,6,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0203,203 - WILMINGTON PARISH,"1,938",74,"2,012",8,6,4,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0206,206 - COURTHOUSE,"1,558",60,"1,618",3,2,2,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0208,208 - OAK KNOLL,"1,828",96,"1,924",7,2,2,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0209,209 - WEST HANOVER,588,27,615,1,,,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0210,210 - OAK HILL,667,23,690,2,1,1,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0301,301 - CLAY,"2,566",130,"2,696",2,4,6,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0303,303 - SHADY GROVE,"2,043",146,"2,189",7,,1,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0304,304 - ATLEE,"4,627",183,"4,810",19,8,10,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0305,305 - COOL SPRING,"2,362",124,"2,486",7,9,7,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0401,401 - BATTLEFIELD,"2,550",107,"2,657",8,2,2,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0403,403 - COLD HARBOR,"3,091",176,"3,267",12,8,3,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0404,404 - BLACK CREEK,"2,703",124,"2,827",6,8,5,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0405,405 - PEBBLE CREEK,"1,482",73,"1,555",5,6,2,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0406,406 - BEAVERDAM CREEK,620,74,694,2,1,,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0502,502 - RURAL POINT,"2,373",94,"2,467",9,1,2,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0503,503 - NEWMAN,"2,081",107,"2,188",14,1,1,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0504,504 - STUDLEY,"1,507",57,"1,564",5,2,1,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0505,505 - TOTOPOTOMOY,"1,241",64,"1,305",4,2,5,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0506,506 - GEORGETOWN,"1,796",61,"1,857",5,7,3,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0507,507 - LAUREL MEADOW,"2,175",114,"2,289",11,3,1,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0601,601 - VILLAGE,"3,521",184,"3,705",15,3,2,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0602,602 - LEE DAVIS,"2,818",164,"2,982",10,3,2,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0603,603 - MECHANICSVILLE,"2,041",219,"2,260",6,1,,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0604,604 - HANOVER GROVE,"1,700",77,"1,777",4,,,2,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0701,701 - FARRINGTON,"2,270",115,"2,385",7,10,5,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0702,702 - MONTPELIER,"2,125",88,"2,213",12,3,2,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0703,703 - ROCKVILLE,"2,186",70,"2,256",9,6,1,,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0704,704 - ELMONT,"2,607",202,"2,809",8,1,2,3,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 085 HANOVER COUNTY,0705,705 - SOUTH ANNA,"1,299",54,"1,353",6,5,1,1,36,"73,453","3,945","77,398",272,136,99,25,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0101,101 - BERKELEY A,"3,289",203,"3,492",24,12,9,1,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0102,102 - BERKELEY B,"2,346",187,"2,533",17,4,3,1,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0103,103 - BERKELEY C,"4,470",268,"4,738",26,17,7,3,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0202,202 - JAMESTOWN B,"3,323",523,"3,846",15,8,3,,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0203,203 - JAMESTOWN C,"2,632",271,"2,903",20,12,6,,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0204,204 - JAMESTOWN D,"3,512",190,"3,702",20,11,7,,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
CON 01,Locality: 095 JAMES CITY COUNTY,0301,301 - POWHATAN A,"3,699",248,"3,947",15,11,6,2,14,"40,610","3,200","43,810",219,111,58,12,224,"490,458","38,409","528,867","3,988","1,505",399,164
