District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 059 FAIRFAX COUNTY,0619,619 - BELVOIR,1,,1,,,,,1,1,,1,,,,,1,1,,1,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,644",41,"1,685",4,4,,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,318",50,"1,368",10,3,,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,254",93,"1,347",4,1,,2,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,613",114,"1,727",7,2,,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,806,31,837,6,2,3,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,960",81,"2,041",5,1,,1,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,285",103,"2,388",11,2,1,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,723,34,757,2,,,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,547",63,"1,610",4,4,1,1,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,328",49,"1,377",1,1,1,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,549",117,"1,666",7,2,,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,131",85,"1,216",5,1,3,,12,"17,158",861,"18,019",66,23,9,4,201,"447,851","32,211","480,062","2,825","1,125",193,297
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,646",102,"1,748",5,2,,,4,"7,046",280,"7,326",17,5,,,201,"447,851","32,211","480,062","2,825","1,125",193,297
