District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,622",109,"1,731",4,4,1,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,314",87,"1,401",10,4,,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,191",132,"1,323",4,1,1,1,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,598",170,"1,768",7,3,,1,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,797,80,877,6,1,3,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,938",162,"2,100",4,1,,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,295",152,"2,447",9,3,1,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,739,46,785,2,,,2,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,531",132,"1,663",4,5,1,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,365",92,"1,457",2,1,1,,12,"17,037","1,523","18,560",64,30,11,5,198,"444,472","44,037","488,509","3,069","1,286",223,129
