District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 041 CHESTERFIELD COUNTY,0413,413 - SHENANDOAH,1,,1,,,,,1,1,,1,,,,,6,71,3,74,,,,
CON ,Locality: 683 MANASSAS CITY,0001,001 - DEAN,25,1,26,,,,,5,70,3,73,,,,,6,71,3,74,,,,
CON ,Locality: 683 MANASSAS CITY,0002,002 - WEEMS,27,1,28,,,,,5,70,3,73,,,,,6,71,3,74,,,,
CON ,Locality: 683 MANASSAS CITY,0003,003 - METZ,13,1,14,,,,,5,70,3,73,,,,,6,71,3,74,,,,
CON ,Locality: 683 MANASSAS CITY,0004,004 - HAYDON,2,,2,,,,,5,70,3,73,,,,,6,71,3,74,,,,
CON ,Locality: 683 MANASSAS CITY,0005,005 - BALDWIN,3,,3,,,,,5,70,3,73,,,,,6,71,3,74,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,761",57,"1,818",7,2,,2,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,341",65,"1,406",13,2,,,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,517",69,"1,586",12,1,,,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,829",85,"1,914",12,3,1,2,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,888,49,937,6,1,2,2,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,121",87,"2,208",7,3,1,1,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,445",87,"2,532",9,2,,,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,810,24,834,5,,,1,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,675",64,"1,739",7,6,1,1,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,395",46,"1,441",2,,1,,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,775",95,"1,870",13,4,1,2,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,263",59,"1,322",9,4,4,,12,"18,820",787,"19,607",102,28,11,11,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,720",60,"1,780",8,2,,,4,"7,294",227,"7,521",27,7,,3,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,816",57,"1,873",9,,,2,4,"7,294",227,"7,521",27,7,,3,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,958",55,"2,013",7,4,,1,4,"7,294",227,"7,521",27,7,,3,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,800",55,"1,855",3,1,,,4,"7,294",227,"7,521",27,7,,3,224,"501,631","21,247","522,878","4,351","1,514",346,471
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,956",91,"3,047",13,5,,2,4,"9,707",408,"10,115",53,20,3,20,224,"501,631","21,247","522,878","4,351","1,514",346,471
