District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,658",95,"1,753",4,4,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,355",74,"1,429",10,3,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,294",106,"1,400",4,1,,1,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,662",141,"1,803",7,2,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,815,68,883,6,2,3,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,010",135,"2,145",5,1,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,345",131,"2,476",11,2,1,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,744,41,785,2,,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,562",110,"1,672",4,4,1,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,367",85,"1,452",1,1,1,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,608",173,"1,781",7,2,,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,173",148,"1,321",5,1,3,,12,"17,593","1,307","18,900",66,23,9,1,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,673",129,"1,802",5,2,,,4,"7,150",370,"7,520",18,5,,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,827",76,"1,903",4,,,,4,"7,150",370,"7,520",18,5,,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,855",77,"1,932",3,2,,,4,"7,150",370,"7,520",18,5,,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,795",88,"1,883",6,1,,,4,"7,150",370,"7,520",18,5,,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,807",163,"2,970",6,3,,,4,"9,009",704,"9,713",18,9,4,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,164",51,"1,215",1,1,,,4,"9,009",704,"9,713",18,9,4,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,887",136,"2,023",3,,4,,4,"9,009",704,"9,713",18,9,4,,201,"457,909","36,803","494,712","2,878","1,147",198,55
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,151",354,"3,505",8,5,,,4,"9,009",704,"9,713",18,9,4,,201,"457,909","36,803","494,712","2,878","1,147",198,55
