District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,619",85,"1,704",4,3,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,304",74,"1,378",9,3,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,271",132,"1,403",5,,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,571",152,"1,723",8,2,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,796,64,860,6,2,3,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,923",123,"2,046",6,1,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,224",168,"2,392",11,1,1,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,714,49,763,2,,,1,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,528",99,"1,627",4,4,1,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,326",68,"1,394",1,1,1,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,501",171,"1,672",6,2,,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,083",133,"1,216",5,1,2,,12,"16,860","1,318","18,178",67,20,8,1,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,613",141,"1,754",5,2,,,4,"6,954",424,"7,378",18,4,,,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,746",98,"1,844",5,,,,4,"6,954",424,"7,378",18,4,,,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,836",96,"1,932",3,1,,,4,"6,954",424,"7,378",18,4,,,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,759",89,"1,848",5,1,,,4,"6,954",424,"7,378",18,4,,,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,752",190,"2,942",6,2,,,4,"8,699",819,"9,518",16,7,4,2,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,132",76,"1,208",1,1,,1,4,"8,699",819,"9,518",16,7,4,2,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,806",153,"1,959",3,,4,,4,"8,699",819,"9,518",16,7,4,2,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,009",400,"3,409",6,4,,1,4,"8,699",819,"9,518",16,7,4,2,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,815",115,"1,930",15,2,,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,580",91,"1,671",10,1,,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,133",74,"1,207",7,,,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"1,911",101,"2,012",7,1,,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"2,831",174,"3,005",19,3,,1,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,214",127,"2,341",16,2,,2,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,697",178,"2,875",25,2,,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,499",179,"2,678",13,2,,1,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,106",133,"2,239",13,1,1,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,004",168,"3,172",22,7,2,1,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 073 GLOUCESTER COUNTY,0502,502 - WALKER,"2,126",129,"2,255",5,3,2,,11,"23,916","1,469","25,385",152,24,5,5,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0101,101 - BERKELEY A,"3,959",340,"4,299",10,8,4,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0102,102 - BERKELEY B,"2,189",195,"2,384",8,,,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0103,103 - BERKELEY C,"4,160",283,"4,443",8,10,,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0201,201 - JAMESTOWN A,"1,018",113,"1,131",2,1,3,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0202,202 - JAMESTOWN B,"3,081",458,"3,539",7,1,2,1,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0203,203 - JAMESTOWN C,"2,334",280,"2,614",11,8,1,1,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0204,204 - JAMESTOWN D,"3,376",157,"3,533",12,3,3,1,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0301,301 - POWHATAN A,"3,497",227,"3,724",7,7,,1,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0302,302 - POWHATAN B,"1,188",110,"1,298",4,3,,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0303,303 - POWHATAN C,"1,305",89,"1,394",1,,2,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
CON 01,Locality: 095 JAMES CITY COUNTY,0304,304 - POWHATAN D,"3,155",420,"3,575",16,3,,,18,"48,548","4,400","52,948",130,84,27,8,201,"439,748","45,655","485,403","2,729","1,049",179,193
