District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 683 MANASSAS CITY,0001,001 - DEAN,39,1,40,,,,,5,109,3,112,1,,,,5,109,3,112,1,,,
CON ,Locality: 683 MANASSAS CITY,0002,002 - WEEMS,34,1,35,1,,,,5,109,3,112,1,,,,5,109,3,112,1,,,
CON ,Locality: 683 MANASSAS CITY,0003,003 - METZ,24,1,25,,,,,5,109,3,112,1,,,,5,109,3,112,1,,,
CON ,Locality: 683 MANASSAS CITY,0004,004 - HAYDON,6,,6,,,,,5,109,3,112,1,,,,5,109,3,112,1,,,
CON ,Locality: 683 MANASSAS CITY,0005,005 - BALDWIN,6,,6,,,,,5,109,3,112,1,,,,5,109,3,112,1,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,757",58,"1,815",7,2,,2,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,337",65,"1,402",12,2,,1,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,507",71,"1,578",12,1,,,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,817",85,"1,902",12,3,1,3,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,884,49,933,6,1,2,2,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,107",87,"2,194",7,3,1,1,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,432",92,"2,524",8,3,,,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,806,26,832,5,,,1,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,674",64,"1,738",7,6,1,1,12,"18,732",804,"19,536",100,29,11,12,224,"500,098","21,624","521,722","4,338","1,511",372,370
