District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 139 PAGE COUNTY,0,LURAY - 1480,1,,1,,,,,1,1,,1,,,,,1,1,,1,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,779",80,"1,859",14,1,,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,375",78,"1,453",10,1,,1,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,589",92,"1,681",15,1,1,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,957",120,"2,077",9,5,1,1,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,898,51,949,10,2,2,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,138",108,"2,246",11,2,1,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,436",146,"2,582",10,,,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,793,33,826,5,1,,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,765",94,"1,859",13,8,1,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,420",54,"1,474",2,,,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,839",124,"1,963",18,5,,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,354",81,"1,435",15,3,1,,12,"19,343","1,061","20,404",132,29,7,2,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,662",156,"1,818",8,2,1,,4,"7,054",632,"7,686",35,6,1,,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,713",186,"1,899",11,,,,4,"7,054",632,"7,686",35,6,1,,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,906",134,"2,040",10,4,,,4,"7,054",632,"7,686",35,6,1,,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,773",156,"1,929",6,,,,4,"7,054",632,"7,686",35,6,1,,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"3,037",116,"3,153",15,3,,1,4,"10,043",520,"10,563",57,15,4,5,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,245",56,"1,301",6,1,,1,4,"10,043",520,"10,563",57,15,4,5,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"2,001",98,"2,099",9,5,3,,4,"10,043",520,"10,563",57,15,4,5,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,760",250,"4,010",27,6,1,3,4,"10,043",520,"10,563",57,15,4,5,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,964",82,"2,046",19,1,1,1,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,690",59,"1,749",13,,,,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,298",65,"1,363",11,,,,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,066",76,"2,142",15,8,1,1,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,116",140,"3,256",37,7,,1,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,362",116,"2,478",31,1,,,11,"26,498","1,137","27,635",265,37,7,9,224,"520,017","28,757","548,774","6,113","1,588",292,264
