District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 019 BEDFORD COUNTY,0702,702 - LIBERTY HIGH SCHOOL,1,,1,,,,,1,1,,1,,,,,2,5,,5,,,,
CON ,Locality: 059 FAIRFAX COUNTY,0233,233 - NORTH POINT,4,,4,,,,,1,4,,4,,,,,2,5,,5,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,676",77,"1,753",5,2,,2,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,314",62,"1,376",8,3,,1,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,362",113,"1,475",5,,,4,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,684",122,"1,806",9,3,,3,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,836,60,896,6,1,2,,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,994",112,"2,106",5,2,,2,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,324",138,"2,462",10,3,,1,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,740,48,788,4,,,1,12,"17,637","1,136","18,773",70,25,8,24,221,"473,903","36,096","509,999","2,584","1,060",208,972
