District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 139 PAGE COUNTY,0,LURAY - 1480,1,,1,,,,,1,1,,1,,,,,3,56,3,59,1,,,
CON ,Locality: 810 VIRGINIA BEACH CITY,0031,031 - SIGMA,54,3,57,1,,,,2,55,3,58,1,,,,3,56,3,59,1,,,
CON ,Locality: 810 VIRGINIA BEACH CITY,0064,064 - ROSEMONT FOREST,1,,1,,,,,2,55,3,58,1,,,,3,56,3,59,1,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,768",71,"1,839",11,,,1,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,349",76,"1,425",11,2,,1,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,550",80,"1,630",17,1,,1,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,949",90,"2,039",11,4,1,3,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,883,48,931,9,,2,1,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,145",107,"2,252",7,2,1,,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,447",106,"2,553",9,1,,,12,"19,202",918,"20,120",125,24,7,13,224,"513,599","24,961","538,560","5,276","1,434",255,779
