District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 139 PAGE COUNTY,0,LURAY - 1480,1,,1,,,,,1,1,,1,,,,,3,56,3,59,1,,,
CON ,Locality: 810 VIRGINIA BEACH CITY,0031,031 - SIGMA,54,3,57,1,,,,2,55,3,58,1,,,,3,56,3,59,1,,,
CON ,Locality: 810 VIRGINIA BEACH CITY,0064,064 - ROSEMONT FOREST,1,,1,,,,,2,55,3,58,1,,,,3,56,3,59,1,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,777",70,"1,847",11,,,1,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,355",71,"1,426",11,2,,1,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,554",79,"1,633",17,1,,1,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,955",85,"2,040",10,4,1,4,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,896,45,941,8,,2,1,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,144",107,"2,251",8,2,1,,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,443",101,"2,544",9,1,,1,12,"19,237",890,"20,127",126,24,7,13,224,"514,336","24,499","538,835","5,352","1,417",258,632
