District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON ,Locality: 683 MANASSAS CITY,0002,002 - WEEMS,18,1,19,,,,,1,18,1,19,,,,,1,18,1,19,,,,
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,755",54,"1,809",8,2,,3,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,348",64,"1,412",12,2,,1,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,507",69,"1,576",11,1,,,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,850",81,"1,931",14,4,,2,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,891,47,938,7,1,2,1,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,131",84,"2,215",7,3,1,1,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,465",86,"2,551",9,2,,,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,809,23,832,6,,,,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,673",62,"1,735",7,6,1,1,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,402",45,"1,447",2,,1,,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,796",93,"1,889",13,5,,2,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,278",58,"1,336",10,5,3,1,12,"18,905",766,"19,671",106,31,8,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,726",59,"1,785",8,2,,,4,"7,329",219,"7,548",27,7,,7,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,826",55,"1,881",9,,,3,4,"7,329",219,"7,548",27,7,,7,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,969",51,"2,020",7,4,,2,4,"7,329",219,"7,548",27,7,,7,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,808",54,"1,862",3,1,,2,4,"7,329",219,"7,548",27,7,,7,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,979",90,"3,069",12,5,,1,4,"9,793",392,"10,185",54,19,3,15,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,242",42,"1,284",5,1,,2,4,"9,793",392,"10,185",54,19,3,15,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"2,005",63,"2,068",11,4,3,2,4,"9,793",392,"10,185",54,19,3,15,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,567",197,"3,764",26,9,,10,4,"9,793",392,"10,185",54,19,3,15,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,943",66,"2,009",14,1,1,1,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,692",45,"1,737",17,,,,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,277",31,"1,308",11,,,,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,050",54,"2,104",9,9,1,2,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,067",99,"3,166",33,6,,2,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,371",77,"2,448",30,2,1,2,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,942",109,"3,051",38,3,,,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,840",77,"2,917",17,2,1,1,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0402,402 - SARAHS CREEK,"2,280",70,"2,350",12,1,1,1,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
CON 01,Locality: 073 GLOUCESTER COUNTY,0501,501 - ACHILLES,"3,261",90,"3,351",28,12,2,2,11,"26,075",790,"26,865",230,43,9,12,224,"505,069","20,780","525,849","4,452","1,502",335,743
