District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,643",102,"1,745",4,4,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,328",78,"1,406",10,3,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,230",112,"1,342",3,1,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,641",151,"1,792",7,3,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,808,74,882,6,1,3,1,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"1,959",143,"2,102",5,2,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,327",138,"2,465",10,2,1,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,748,43,791,2,,,1,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,546",116,"1,662",4,4,1,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,385",87,"1,472",2,1,1,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,579",177,"1,756",7,3,,,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,142",149,"1,291",5,1,3,1,12,"17,336","1,370","18,706",65,25,9,3,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,677",128,"1,805",6,3,,1,4,"7,146",372,"7,518",19,6,,2,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,841",75,"1,916",3,,,,4,"7,146",372,"7,518",19,6,,2,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,838",81,"1,919",3,2,,1,4,"7,146",372,"7,518",19,6,,2,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,790",88,"1,878",7,1,,,4,"7,146",372,"7,518",19,6,,2,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,778",171,"2,949",7,3,,,4,"8,840",728,"9,568",18,9,4,1,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,127",57,"1,184",1,1,,,4,"8,840",728,"9,568",18,9,4,1,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,864",145,"2,009",2,,4,1,4,"8,840",728,"9,568",18,9,4,1,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,071",355,"3,426",8,5,,,4,"8,840",728,"9,568",18,9,4,1,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,859",88,"1,947",20,5,,,11,"24,464","1,412","25,876",189,39,6,4,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,588",100,"1,688",12,1,,1,11,"24,464","1,412","25,876",189,39,6,4,198,"451,640","37,965","489,605","2,955","1,217",203,168
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,194",72,"1,266",7,,,1,11,"24,464","1,412","25,876",189,39,6,4,198,"451,640","37,965","489,605","2,955","1,217",203,168
