District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,721",84,"1,805",11,1,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,342",84,"1,426",11,2,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,520",89,"1,609",14,1,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,890",96,"1,986",13,4,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,873,59,932,9,,2,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,110",129,"2,239",7,2,1,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,416",120,"2,536",8,2,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,802,38,840,6,,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,670",94,"1,764",9,6,1,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,394",57,"1,451",3,,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,800",114,"1,914",13,5,,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,298",76,"1,374",13,2,2,,12,"18,836","1,040","19,876",117,25,6,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,600",175,"1,775",7,2,,,4,"6,872",644,"7,516",31,6,,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,715",151,"1,866",9,,,,4,"6,872",644,"7,516",31,6,,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,873",139,"2,012",10,4,,,4,"6,872",644,"7,516",31,6,,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,684",179,"1,863",5,,,,4,"6,872",644,"7,516",31,6,,,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"2,968",122,"3,090",12,4,,,4,"9,786",524,"10,310",55,15,3,2,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,239",49,"1,288",5,1,,,4,"9,786",524,"10,310",55,15,3,2,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,959",97,"2,056",11,4,3,1,4,"9,786",524,"10,310",55,15,3,2,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,620",256,"3,876",27,6,,1,4,"9,786",524,"10,310",55,15,3,2,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,917",82,"1,999",15,2,1,1,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,661",64,"1,725",17,,,,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,269",62,"1,331",10,,,,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,019",76,"2,095",11,10,1,,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,054",129,"3,183",35,7,,,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,356",101,"2,457",27,,,1,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,980",140,"3,120",39,2,,1,11,"25,913","1,083","26,996",234,38,8,6,224,"500,535","27,787","528,322","4,741","1,470",268,237
